Month,Year,State,Total
May,2017,Washington,44
June,2017,Washington,37
July,2017,Washington,63
Aug,2017,Washington,57
Sept,2017,Washington,59
Oct,2017,Washington,46
Nov,2017,Washington,39
Dec,2017,Washington,46
Jan,2018,Washington,34
Feb,2018,Washington,27
Mar,2018,Washington,37
Apr,2018,Washington,28
May,2018,Washington,39
June,2018,Washington,48
July,2018,Washington,68
Aug,2018,Washington,39
Sept,2018,Washington,34
Oct,2018,Washington,47
Nov,2018,Washington,47
Dec,2018,Washington,42
Jan,2019,Washington,45
Feb,2019,Washington,25
Mar,2019,Washington,45
Apr,2019,Washington,30
May,2019,Washington,37
June,2019,Washington,47
July,2019,Washington,51
Aug,2019,Washington,39
Sept,2019,Washington,39
Oct,2019,Washington,42
Nov,2019,Washington,41
Dec,2019,Washington,53
Jan,2016,West Virginia,19
Feb,2016,West Virginia,17
Mar,2016,West Virginia,18
Apr,2016,West Virginia,14
May,2016,West Virginia,16
June,2016,West Virginia,21
July,2016,West Virginia,22
Aug,2016,West Virginia,30
Sept,2016,West Virginia,29
Oct,2016,West Virginia,23
Nov,2016,West Virginia,15
Dec,2016,West Virginia,26
Jan,2017,West Virginia,17
Feb,2017,West Virginia,10
Mar,2017,West Virginia,16
Apr,2017,West Virginia,30
May,2017,West Virginia,27
June,2017,West Virginia,24
July,2017,West Virginia,32
Aug,2017,West Virginia,27
Sept,2017,West Virginia,20
Oct,2017,West Virginia,32
Nov,2017,West Virginia,29
Dec,2017,West Virginia,16
Jan,2018,West Virginia,14
Feb,2018,West Virginia,14
Mar,2018,West Virginia,21
Apr,2018,West Virginia,23
May,2018,West Virginia,24
June,2018,West Virginia,26
July,2018,West Virginia,19
Aug,2018,West Virginia,28
Sept,2018,West Virginia,31
Oct,2018,West Virginia,27
Nov,2018,West Virginia,22
Dec,2018,West Virginia,16
Jan,2019,West Virginia,19
Feb,2019,West Virginia,11
Mar,2019,West Virginia,23
Apr,2019,West Virginia,14
May,2019,West Virginia,27
June,2019,West Virginia,20
July,2019,West Virginia,19
Aug,2019,West Virginia,25
Sept,2019,West Virginia,24
Oct,2019,West Virginia,28
Nov,2019,West Virginia,17
Dec,2019,West Virginia,20
Jan,2016,Wisconsin,30
Feb,2016,Wisconsin,50
Mar,2016,Wisconsin,34
Apr,2016,Wisconsin,39
May,2016,Wisconsin,46
June,2016,Wisconsin,54
July,2016,Wisconsin,62
Aug,2016,Wisconsin,50
Sept,2016,Wisconsin,46
Oct,2016,Wisconsin,42
Nov,2016,Wisconsin,65
Dec,2016,Wisconsin,26
Jan,2017,Wisconsin,36
Feb,2017,Wisconsin,34
Mar,2017,Wisconsin,32
Apr,2017,Wisconsin,49
May,2017,Wisconsin,43
June,2017,Wisconsin,61
July,2017,Wisconsin,68
Aug,2017,Wisconsin,55
Sept,2017,Wisconsin,48
Oct,2017,Wisconsin,51
Nov,2017,Wisconsin,44
Dec,2017,Wisconsin,36
Jan,2018,Wisconsin,49
Feb,2018,Wisconsin,35
Mar,2018,Wisconsin,31
Apr,2018,Wisconsin,29
May,2018,Wisconsin,42
June,2018,Wisconsin,58
July,2018,Wisconsin,64
Aug,2018,Wisconsin,53
Sept,2018,Wisconsin,51
Oct,2018,Wisconsin,47
Nov,2018,Wisconsin,34
Dec,2018,Wisconsin,38
Jan,2019,Wisconsin,34
Feb,2019,Wisconsin,33
Mar,2019,Wisconsin,27
Apr,2019,Wisconsin,37
May,2019,Wisconsin,45
June,2019,Wisconsin,41
July,2019,Wisconsin,49
Aug,2019,Wisconsin,73
Sept,2019,Wisconsin,62
Oct,2019,Wisconsin,51
Nov,2019,Wisconsin,43
Dec,2019,Wisconsin,31
Jan,2016,Wyoming,5
Feb,2016,Wyoming,3
Mar,2016,Wyoming,3
Apr,2016,Wyoming,3
May,2016,Wyoming,11
June,2016,Wyoming,14
July,2016,Wyoming,10
Aug,2016,Wyoming,22
Sept,2016,Wyoming,11
Oct,2016,Wyoming,7
Nov,2016,Wyoming,8
Dec,2016,Wyoming,3
Jan,2017,Wyoming,6
Feb,2017,Wyoming,4
Mar,2017,Wyoming,8
Apr,2017,Wyoming,12
May,2017,Wyoming,7
June,2017,Wyoming,18
July,2017,Wyoming,14
Aug,2017,Wyoming,17
Sept,2017,Wyoming,7
Oct,2017,Wyoming,3
Nov,2017,Wyoming,5
Dec,2017,Wyoming,4
Jan,2018,Wyoming,5
Feb,2018,Wyoming,4
Mar,2018,Wyoming,11
Apr,2018,Wyoming,6
May,2018,Wyoming,10
June,2018,Wyoming,7
July,2018,Wyoming,13
Aug,2018,Wyoming,8
Sept,2018,Wyoming,15
Oct,2018,Wyoming,11
Nov,2018,Wyoming,5
Dec,2018,Wyoming,5
Jan,2019,Wyoming,9
Feb,2019,Wyoming,4
Mar,2019,Wyoming,13
Apr,2019,Wyoming,13
May,2019,Wyoming,10
June,2019,Wyoming,15
July,2019,Wyoming,10
Aug,2019,Wyoming,10
Sept,2019,Wyoming,14
Oct,2019,Wyoming,8
Nov,2019,Wyoming,9
Dec,2019,Wyoming,5
